Distance;Score
3.8;-12.0
4.0;-7.0
4.2;-7.0
4.4;-7.0
4.6000000000000005;-7.0
4.800000000000001;-7.0
5.000000000000001;-7.0
5.200000000000001;-7.0
5.400000000000001;-7.0
5.600000000000001;-5.0
5.800000000000002;-4.0
6.000000000000002;-4.0
6.200000000000002;-4.0
6.400000000000002;-3.0
6.600000000000002;-3.0
6.8000000000000025;-3.0
7.000000000000003;-3.0
7.200000000000003;-3.0
7.400000000000003;-3.0
7.600000000000003;-3.0
7.800000000000003;-3.0
8.000000000000004;-3.0
8.200000000000003;-3.0
8.400000000000002;-3.0
8.600000000000001;-3.0
8.8;-2.0
9.0;-2.0
9.2;-2.0
9.399999999999999;-2.0
3.8;-11.0
4.0;-10.0
4.2;-10.0
4.4;-9.0
4.6000000000000005;-9.0
4.800000000000001;-9.0
5.000000000000001;-9.0
5.200000000000001;-8.0
5.400000000000001;-6.0
5.600000000000001;-6.0
5.800000000000002;-4.0
6.000000000000002;-4.0
6.200000000000002;-4.0
6.400000000000002;-4.0
6.600000000000002;-3.0
6.8000000000000025;-2.0
7.000000000000003;-2.0
7.200000000000003;-2.0
7.400000000000003;-1.0
7.600000000000003;0.0
7.800000000000003;0.0
8.000000000000004;0.0
8.200000000000003;1.0
8.400000000000002;2.0
8.600000000000001;2.0
8.8;4.0
9.0;4.0
9.2;6.0
9.399999999999999;7.0
3.8;-25.0
4.0;-14.0
4.2;-14.0
4.4;-14.0
4.6000000000000005;-14.0
4.800000000000001;-14.0
5.000000000000001;-14.0
5.200000000000001;-12.0
5.400000000000001;-10.0
5.600000000000001;-9.0
5.800000000000002;-8.0
6.000000000000002;-7.0
6.200000000000002;-4.0
6.400000000000002;-1.0
6.600000000000002;0.0
6.8000000000000025;3.0
7.000000000000003;6.0
7.200000000000003;6.0
7.400000000000003;10.0
7.600000000000003;13.0
7.800000000000003;15.0
8.000000000000004;16.0
8.200000000000003;19.0
8.400000000000002;22.0
8.600000000000001;22.0
8.8;23.0
9.0;26.0
9.2;30.0
9.399999999999999;30.0
3.8;-6.0
4.0;-3.0
4.2;-3.0
4.4;-3.0
4.6000000000000005;-3.0
4.800000000000001;-2.0
5.000000000000001;-2.0
5.200000000000001;-2.0
5.400000000000001;0.0
5.600000000000001;1.0
5.800000000000002;1.0
