Distance;Score
6.000000000000002;2.0
6.200000000000002;4.0
6.400000000000002;6.0
6.600000000000002;8.0
6.8000000000000025;9.0
7.000000000000003;9.0
7.200000000000003;9.0
7.400000000000003;9.0
7.600000000000003;9.0
7.800000000000003;9.0
8.000000000000004;10.0
8.200000000000003;10.0
8.400000000000002;10.0
8.600000000000001;10.0
8.8;10.0
9.0;10.0
9.2;11.0
9.399999999999999;11.0
3.8;-14.0
3.8;-21.0
4.0;-14.0
4.2;-14.0
4.4;-14.0
4.6000000000000005;-14.0
4.800000000000001;-14.0
5.000000000000001;-12.0
5.200000000000001;-11.0
5.400000000000001;-9.0
5.600000000000001;-4.0
5.800000000000002;-4.0
6.000000000000002;-1.0
6.200000000000002;2.0
6.400000000000002;2.0
6.600000000000002;3.0
6.8000000000000025;3.0
7.000000000000003;3.0
7.200000000000003;4.0
7.400000000000003;4.0
7.600000000000003;6.0
7.800000000000003;7.0
8.000000000000004;7.0
8.200000000000003;7.0
8.400000000000002;9.0
8.600000000000001;11.0
8.8;12.0
9.0;12.0
9.2;12.0
9.399999999999999;12.0
3.8;-13.0
4.0;-13.0
4.2;-13.0
4.4;-13.0
4.6000000000000005;-13.0
4.800000000000001;-12.0
5.000000000000001;-11.0
5.200000000000001;-8.0
5.400000000000001;-6.0
5.600000000000001;-6.0
